Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
3/1/2021,BN,Brunei Darussalam,WPRO,0,186,0,3
2/28/2021,BN,Brunei Darussalam,WPRO,0,186,0,3
2/27/2021,BN,Brunei Darussalam,WPRO,1,186,0,3
2/26/2021,BN,Brunei Darussalam,WPRO,0,185,0,3
2/25/2021,BN,Brunei Darussalam,WPRO,0,185,0,3
2/24/2021,BN,Brunei Darussalam,WPRO,0,185,0,3
2/23/2021,BN,Brunei Darussalam,WPRO,0,185,0,3
2/22/2021,BN,Brunei Darussalam,WPRO,0,185,0,3
2/21/2021,BN,Brunei Darussalam,WPRO,0,185,0,3
2/20/2021,BN,Brunei Darussalam,WPRO,0,185,0,3
2/19/2021,BN,Brunei Darussalam,WPRO,0,185,0,3
2/18/2021,BN,Brunei Darussalam,WPRO,1,185,0,3
2/17/2021,BN,Brunei Darussalam,WPRO,0,184,0,3
2/16/2021,BN,Brunei Darussalam,WPRO,0,184,0,3
2/15/2021,BN,Brunei Darussalam,WPRO,0,184,0,3
2/14/2021,BN,Brunei Darussalam,WPRO,0,184,0,3
2/13/2021,BN,Brunei Darussalam,WPRO,0,184,0,3
2/12/2021,BN,Brunei Darussalam,WPRO,1,184,0,3
2/11/2021,BN,Brunei Darussalam,WPRO,1,183,0,3
2/10/2021,BN,Brunei Darussalam,WPRO,0,182,0,3
2/9/2021,BN,Brunei Darussalam,WPRO,1,182,0,3
2/8/2021,BN,Brunei Darussalam,WPRO,0,181,0,3
2/7/2021,BN,Brunei Darussalam,WPRO,0,181,0,3
2/6/2021,BN,Brunei Darussalam,WPRO,1,181,0,3
2/5/2021,BN,Brunei Darussalam,WPRO,0,180,0,3
2/4/2021,BN,Brunei Darussalam,WPRO,0,180,0,3
2/3/2021,BN,Brunei Darussalam,WPRO,0,180,0,3
2/2/2021,BN,Brunei Darussalam,WPRO,0,180,0,3
2/1/2021,BN,Brunei Darussalam,WPRO,0,180,0,3
1/31/2021,BN,Brunei Darussalam,WPRO,0,180,0,3
1/30/2021,BN,Brunei Darussalam,WPRO,0,180,0,3
1/29/2021,BN,Brunei Darussalam,WPRO,4,180,0,3
1/28/2021,BN,Brunei Darussalam,WPRO,0,176,0,3
1/27/2021,BN,Brunei Darussalam,WPRO,1,176,0,3
1/26/2021,BN,Brunei Darussalam,WPRO,0,175,0,3
1/25/2021,BN,Brunei Darussalam,WPRO,0,175,0,3
1/24/2021,BN,Brunei Darussalam,WPRO,0,175,0,3
1/23/2021,BN,Brunei Darussalam,WPRO,1,175,0,3
1/22/2021,BN,Brunei Darussalam,WPRO,0,174,0,3
1/21/2021,BN,Brunei Darussalam,WPRO,0,174,0,3
1/20/2021,BN,Brunei Darussalam,WPRO,0,174,0,3
1/19/2021,BN,Brunei Darussalam,WPRO,0,174,0,3
1/18/2021,BN,Brunei Darussalam,WPRO,0,174,0,3
1/17/2021,BN,Brunei Darussalam,WPRO,0,174,0,3
1/16/2021,BN,Brunei Darussalam,WPRO,0,174,0,3
1/15/2021,BN,Brunei Darussalam,WPRO,0,174,0,3
1/14/2021,BN,Brunei Darussalam,WPRO,0,174,0,3
1/13/2021,BN,Brunei Darussalam,WPRO,1,174,0,3
1/12/2021,BN,Brunei Darussalam,WPRO,0,173,0,3
1/11/2021,BN,Brunei Darussalam,WPRO,0,173,0,3
1/10/2021,BN,Brunei Darussalam,WPRO,0,173,0,3
1/9/2021,BN,Brunei Darussalam,WPRO,0,173,0,3
1/8/2021,BN,Brunei Darussalam,WPRO,1,173,0,3
1/7/2021,BN,Brunei Darussalam,WPRO,0,172,0,3
1/6/2021,BN,Brunei Darussalam,WPRO,0,172,0,3
1/5/2021,BN,Brunei Darussalam,WPRO,0,172,0,3
1/4/2021,BN,Brunei Darussalam,WPRO,15,172,0,3
1/3/2021,BN,Brunei Darussalam,WPRO,0,157,0,3
1/2/2021,BN,Brunei Darussalam,WPRO,0,157,0,3
1/1/2021,BN,Brunei Darussalam,WPRO,0,157,0,3
12/31/2020,BN,Brunei Darussalam,WPRO,5,157,0,3
12/30/2020,BN,Brunei Darussalam,WPRO,0,152,0,3
12/29/2020,BN,Brunei Darussalam,WPRO,0,152,0,3
12/28/2020,BN,Brunei Darussalam,WPRO,0,152,0,3
12/27/2020,BN,Brunei Darussalam,WPRO,0,152,0,3
12/26/2020,BN,Brunei Darussalam,WPRO,0,152,0,3
12/25/2020,BN,Brunei Darussalam,WPRO,0,152,0,3
12/24/2020,BN,Brunei Darussalam,WPRO,0,152,0,3
12/23/2020,BN,Brunei Darussalam,WPRO,0,152,0,3
12/22/2020,BN,Brunei Darussalam,WPRO,0,152,0,3
12/21/2020,BN,Brunei Darussalam,WPRO,0,152,0,3
12/20/2020,BN,Brunei Darussalam,WPRO,0,152,0,3
12/19/2020,BN,Brunei Darussalam,WPRO,0,152,0,3
12/18/2020,BN,Brunei Darussalam,WPRO,0,152,0,3
12/17/2020,BN,Brunei Darussalam,WPRO,0,152,0,3
12/16/2020,BN,Brunei Darussalam,WPRO,0,152,0,3
12/15/2020,BN,Brunei Darussalam,WPRO,0,152,0,3
12/14/2020,BN,Brunei Darussalam,WPRO,0,152,0,3
12/13/2020,BN,Brunei Darussalam,WPRO,0,152,0,3
12/12/2020,BN,Brunei Darussalam,WPRO,0,152,0,3
12/11/2020,BN,Brunei Darussalam,WPRO,0,152,0,3
12/10/2020,BN,Brunei Darussalam,WPRO,0,152,0,3
12/9/2020,BN,Brunei Darussalam,WPRO,1,152,0,3
12/8/2020,BN,Brunei Darussalam,WPRO,0,151,0,3
12/7/2020,BN,Brunei Darussalam,WPRO,0,151,0,3
12/6/2020,BN,Brunei Darussalam,WPRO,0,151,0,3
12/5/2020,BN,Brunei Darussalam,WPRO,0,151,0,3
12/4/2020,BN,Brunei Darussalam,WPRO,0,151,0,3
12/3/2020,BN,Brunei Darussalam,WPRO,0,151,0,3
12/2/2020,BN,Brunei Darussalam,WPRO,1,151,0,3
12/1/2020,BN,Brunei Darussalam,WPRO,0,150,0,3
11/30/2020,BN,Brunei Darussalam,WPRO,0,150,0,3
11/29/2020,BN,Brunei Darussalam,WPRO,0,150,0,3
11/28/2020,BN,Brunei Darussalam,WPRO,0,150,0,3
11/27/2020,BN,Brunei Darussalam,WPRO,0,150,0,3
11/26/2020,BN,Brunei Darussalam,WPRO,0,150,0,3
11/25/2020,BN,Brunei Darussalam,WPRO,1,150,0,3
11/24/2020,BN,Brunei Darussalam,WPRO,1,149,0,3
11/23/2020,BN,Brunei Darussalam,WPRO,0,148,0,3
11/22/2020,BN,Brunei Darussalam,WPRO,0,148,0,3
11/21/2020,BN,Brunei Darussalam,WPRO,0,148,0,3
11/20/2020,BN,Brunei Darussalam,WPRO,0,148,0,3
11/19/2020,BN,Brunei Darussalam,WPRO,0,148,0,3
11/18/2020,BN,Brunei Darussalam,WPRO,0,148,0,3
11/17/2020,BN,Brunei Darussalam,WPRO,0,148,0,3
11/16/2020,BN,Brunei Darussalam,WPRO,0,148,0,3
11/15/2020,BN,Brunei Darussalam,WPRO,0,148,0,3
11/14/2020,BN,Brunei Darussalam,WPRO,0,148,0,3
11/13/2020,BN,Brunei Darussalam,WPRO,0,148,0,3
11/12/2020,BN,Brunei Darussalam,WPRO,0,148,0,3
11/11/2020,BN,Brunei Darussalam,WPRO,0,148,0,3
11/10/2020,BN,Brunei Darussalam,WPRO,0,148,0,3
11/9/2020,BN,Brunei Darussalam,WPRO,0,148,0,3
11/8/2020,BN,Brunei Darussalam,WPRO,0,148,0,3
11/7/2020,BN,Brunei Darussalam,WPRO,0,148,0,3
11/6/2020,BN,Brunei Darussalam,WPRO,0,148,0,3
11/5/2020,BN,Brunei Darussalam,WPRO,0,148,0,3
11/4/2020,BN,Brunei Darussalam,WPRO,0,148,0,3
11/3/2020,BN,Brunei Darussalam,WPRO,0,148,0,3
11/2/2020,BN,Brunei Darussalam,WPRO,0,148,0,3
11/1/2020,BN,Brunei Darussalam,WPRO,0,148,0,3
10/31/2020,BN,Brunei Darussalam,WPRO,0,148,0,3
10/30/2020,BN,Brunei Darussalam,WPRO,0,148,0,3
10/29/2020,BN,Brunei Darussalam,WPRO,0,148,0,3
10/28/2020,BN,Brunei Darussalam,WPRO,0,148,0,3
10/27/2020,BN,Brunei Darussalam,WPRO,0,148,0,3
10/26/2020,BN,Brunei Darussalam,WPRO,0,148,0,3
10/25/2020,BN,Brunei Darussalam,WPRO,0,148,0,3
10/24/2020,BN,Brunei Darussalam,WPRO,0,148,0,3
10/23/2020,BN,Brunei Darussalam,WPRO,1,148,0,3
10/22/2020,BN,Brunei Darussalam,WPRO,0,147,0,3
10/21/2020,BN,Brunei Darussalam,WPRO,0,147,0,3
10/20/2020,BN,Brunei Darussalam,WPRO,0,147,0,3
10/19/2020,BN,Brunei Darussalam,WPRO,0,147,0,3
10/18/2020,BN,Brunei Darussalam,WPRO,0,147,0,3
10/17/2020,BN,Brunei Darussalam,WPRO,0,147,0,3
10/16/2020,BN,Brunei Darussalam,WPRO,0,147,0,3
10/15/2020,BN,Brunei Darussalam,WPRO,1,147,0,3
10/14/2020,BN,Brunei Darussalam,WPRO,0,146,0,3
10/13/2020,BN,Brunei Darussalam,WPRO,0,146,0,3
10/12/2020,BN,Brunei Darussalam,WPRO,0,146,0,3
10/11/2020,BN,Brunei Darussalam,WPRO,0,146,0,3
10/10/2020,BN,Brunei Darussalam,WPRO,0,146,0,3
10/9/2020,BN,Brunei Darussalam,WPRO,0,146,0,3
10/8/2020,BN,Brunei Darussalam,WPRO,0,146,0,3
10/7/2020,BN,Brunei Darussalam,WPRO,0,146,0,3
10/6/2020,BN,Brunei Darussalam,WPRO,0,146,0,3
10/5/2020,BN,Brunei Darussalam,WPRO,0,146,0,3
10/4/2020,BN,Brunei Darussalam,WPRO,0,146,0,3
10/3/2020,BN,Brunei Darussalam,WPRO,0,146,0,3
10/2/2020,BN,Brunei Darussalam,WPRO,0,146,0,3
10/1/2020,BN,Brunei Darussalam,WPRO,0,146,0,3
9/30/2020,BN,Brunei Darussalam,WPRO,0,146,0,3
9/29/2020,BN,Brunei Darussalam,WPRO,0,146,0,3
9/28/2020,BN,Brunei Darussalam,WPRO,0,146,0,3
9/27/2020,BN,Brunei Darussalam,WPRO,0,146,0,3
9/26/2020,BN,Brunei Darussalam,WPRO,0,146,0,3
9/25/2020,BN,Brunei Darussalam,WPRO,1,146,0,3
9/24/2020,BN,Brunei Darussalam,WPRO,0,145,0,3
9/23/2020,BN,Brunei Darussalam,WPRO,0,145,0,3
9/22/2020,BN,Brunei Darussalam,WPRO,0,145,0,3
9/21/2020,BN,Brunei Darussalam,WPRO,0,145,0,3
9/20/2020,BN,Brunei Darussalam,WPRO,0,145,0,3
9/19/2020,BN,Brunei Darussalam,WPRO,0,145,0,3
9/18/2020,BN,Brunei Darussalam,WPRO,0,145,0,3
9/17/2020,BN,Brunei Darussalam,WPRO,0,145,0,3
9/16/2020,BN,Brunei Darussalam,WPRO,0,145,0,3
9/15/2020,BN,Brunei Darussalam,WPRO,0,145,0,3
9/14/2020,BN,Brunei Darussalam,WPRO,0,145,0,3
9/13/2020,BN,Brunei Darussalam,WPRO,0,145,0,3
9/12/2020,BN,Brunei Darussalam,WPRO,0,145,0,3
9/11/2020,BN,Brunei Darussalam,WPRO,0,145,0,3
9/10/2020,BN,Brunei Darussalam,WPRO,0,145,0,3
9/9/2020,BN,Brunei Darussalam,WPRO,0,145,0,3
9/8/2020,BN,Brunei Darussalam,WPRO,0,145,0,3
9/7/2020,BN,Brunei Darussalam,WPRO,0,145,0,3
9/6/2020,BN,Brunei Darussalam,WPRO,0,145,0,3
9/5/2020,BN,Brunei Darussalam,WPRO,0,145,0,3
9/4/2020,BN,Brunei Darussalam,WPRO,1,145,0,3
9/3/2020,BN,Brunei Darussalam,WPRO,0,144,0,3
9/2/2020,BN,Brunei Darussalam,WPRO,0,144,0,3
9/1/2020,BN,Brunei Darussalam,WPRO,0,144,0,3
8/31/2020,BN,Brunei Darussalam,WPRO,0,144,0,3
8/30/2020,BN,Brunei Darussalam,WPRO,0,144,0,3
8/29/2020,BN,Brunei Darussalam,WPRO,0,144,0,3
8/28/2020,BN,Brunei Darussalam,WPRO,0,144,0,3
8/27/2020,BN,Brunei Darussalam,WPRO,0,144,0,3
8/26/2020,BN,Brunei Darussalam,WPRO,1,144,0,3
8/25/2020,BN,Brunei Darussalam,WPRO,0,143,0,3
8/24/2020,BN,Brunei Darussalam,WPRO,0,143,0,3
8/23/2020,BN,Brunei Darussalam,WPRO,0,143,0,3
8/22/2020,BN,Brunei Darussalam,WPRO,0,143,0,3
8/21/2020,BN,Brunei Darussalam,WPRO,0,143,0,3
8/20/2020,BN,Brunei Darussalam,WPRO,1,143,0,3
8/19/2020,BN,Brunei Darussalam,WPRO,0,142,0,3
8/18/2020,BN,Brunei Darussalam,WPRO,0,142,0,3
8/17/2020,BN,Brunei Darussalam,WPRO,0,142,0,3
8/16/2020,BN,Brunei Darussalam,WPRO,0,142,0,3
